sweep,context,nu,empirical,original_bound,residual_component_bound,tb_norm_bound,preactivation_bound,original_ratio,residual_component_ratio,tb_norm_ratio,preactivation_ratio,r_U,r_in,r_out,msa_norm,ffn_norm,msa_res_norm,ffn_res_norm,tb_norm,tb_residual_norm
bound,random context,0.1,2.137827157974243,10.20290962353088,7.351824687527727,2.9066093767680377,2.377052696238605,4.772560581183246,3.438923797045478,1.3596091554577663,1.111901253275801,0.9918796420097351,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,2.357750177383423
bound,random context,0.3111111111111111,4.854372501373291,25.021192788469133,17.526794919029438,5.842045814058803,5.1821172066604335,5.154361924510469,3.610517098568589,1.2034605528121507,1.067515359646262,1.173945426940918,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,6.083522796630859
bound,random context,0.5222222222222223,6.93718147277832,35.649488083064725,24.822677038632502,7.9422587762146035,7.328070120088482,5.138900895551636,3.578207826339462,1.1448826598208843,1.0563468966242298,1.3640300035476685,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,9.995707511901855
bound,random context,0.7333333333333333,8.51790714263916,43.535322760664116,30.234829249186657,9.497615618237134,8.94240817361641,5.111035144153412,3.5495607950263235,1.1150175106621818,1.0498363064856944,1.5592035055160522,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,13.943034172058105
bound,random context,0.9444444444444444,9.745285034179688,49.57066181975268,34.376274578211884,10.686232254045192,10.184806039963775,5.086630267446591,3.5274775912293794,1.096554099399383,1.0451008876849217,1.7577712535858154,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,17.902559280395508
bound,random context,1.1555555555555557,10.720590591430664,54.31523302224252,37.6315605604653,11.619527270865037,11.164414400021519,5.06644037555716,3.510213382324804,1.0838514139466275,1.0413991938975469,1.958701729774475,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,21.86775779724121
bound,random context,1.3666666666666667,11.511656761169434,58.13108856224789,40.24935968934991,12.369399339907782,11.953741404447884,5.049758672299271,3.4964002597017236,1.074510784723155,1.0384032161877574,2.1613357067108154,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,25.836048126220703
bound,random context,1.577777777777778,12.164873123168945,61.25996746422561,42.39567304369186,12.9837641503742,12.601782749830479,5.035808170292483,3.4850896194672187,1.0673160351870512,1.0359156747660117,2.3652355670928955,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,29.806184768676758
bound,random context,1.788888888888889,12.71258544921875,63.868223496614654,44.184715288277644,13.495544666856734,13.142467842571927,5.02401527617969,3.475667122535881,1.0615892983190214,1.0338154968609943,2.5700998306274414,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,33.7774543762207
bound,random context,2.0,13.177939414978027,66.08445583864763,45.7048231898731,13.930303275012758,13.602245997941628,5.014779151552035,3.468282995589209,1.0570926786307422,1.032198249635397,2.775254249572754,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,37.749691009521484
asymptotic,random context,0.1,2.137826681137085,,,,,,,,,,,,,,,,,
asymptotic,random context,0.14384498882876628,2.744168996810913,,,,,,,,,,,,,,,,,
asymptotic,random context,0.20691380811147897,3.588139057159424,,,,,,,,,,,,,,,,,
asymptotic,random context,0.29763514416313175,4.700129508972168,,,,,,,,,,,,,,,,,
asymptotic,random context,0.42813323987193935,6.081594467163086,,,,,,,,,,,,,,,,,
asymptotic,random context,0.6158482110660264,7.690139293670654,,,,,,,,,,,,,,,,,
asymptotic,random context,0.8858667904100825,9.433561325073242,,,,,,,,,,,,,,,,,
asymptotic,random context,1.2742749857031335,11.184738159179688,,,,,,,,,,,,,,,,,
asymptotic,random context,1.8329807108324356,12.815930366516113,,,,,,,,,,,,,,,,,
asymptotic,random context,2.636650898730358,14.23391056060791,,,,,,,,,,,,,,,,,
asymptotic,random context,3.79269019073225,15.396605491638184,,,,,,,,,,,,,,,,,
asymptotic,random context,5.455594781168517,16.306903839111328,,,,,,,,,,,,,,,,,
asymptotic,random context,7.847599703514611,16.995319366455078,,,,,,,,,,,,,,,,,
asymptotic,random context,11.288378916846883,17.502941131591797,,,,,,,,,,,,,,,,,
asymptotic,random context,16.23776739188721,17.87065315246582,,,,,,,,,,,,,,,,,
asymptotic,random context,23.357214690901213,18.13368797302246,,,,,,,,,,,,,,,,,
asymptotic,random context,33.59818286283781,18.32021141052246,,,,,,,,,,,,,,,,,
asymptotic,random context,48.32930238571752,18.45164680480957,,,,,,,,,,,,,,,,,
asymptotic,random context,69.51927961775606,18.543901443481445,,,,,,,,,,,,,,,,,
asymptotic,random context,100.0,18.608469009399414,,,,,,,,,,,,,,,,,
bound,image-derived context,0.1,2.118124008178711,10.101917636961277,7.279053742032677,2.8778387352576353,2.3535295047212696,4.7692758299111615,3.436556931476189,1.3586733940720366,1.1111386753719743,1.001795768737793,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,2.3577558994293213
bound,image-derived context,0.3111111111111111,4.740230560302734,24.38787082579061,17.083166821383386,5.694175328734752,5.050948473113579,5.144870173621488,3.603868335951231,1.2012443817439744,1.0655491138791784,1.2044312953948975,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,6.083520412445068
bound,image-derived context,0.5222222222222223,6.706632614135742,34.41057583726693,23.960024579640958,7.666244668123619,7.073408760380217,5.130827617534749,3.572586416786838,1.143084034745735,1.054688569860143,1.4131402969360352,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,9.995718955993652
bound,image-derived context,0.7333333333333333,8.17631721496582,41.73353617902854,28.9835071919525,9.104539943283505,8.572311330247977,5.1041972910053,3.544811977072206,1.1135257725346908,1.0484318434413644,1.6265199184417725,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,13.943035125732422
bound,image-derived context,0.9444444444444444,9.305543899536133,47.27563212982408,32.784716832361966,10.19147952337389,9.71326737801445,5.08037280144159,3.523138162186977,1.0952051415158999,1.0438151152560402,1.8431035280227661,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,17.902557373046875
bound,image-derived context,1.1555555555555557,10.196187973022461,51.59720095097888,35.74840950313377,11.038065201795012,10.605731623836746,5.060440341772543,3.50605634161694,1.082567841138279,1.0401663496100577,2.0618820190429688,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,21.867767333984375
bound,image-derived context,1.3666666666666667,10.914729118347168,55.05191457473749,38.117371721557355,11.714198592242656,11.32056453066183,5.043818676379032,3.4922874684524943,1.073246845178376,1.0371823622844172,2.28222393989563,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,25.836063385009766
bound,image-derived context,1.577777777777778,11.505661964416504,57.87166474024404,40.05075873170073,12.265629204188699,11.904773758114313,5.029842256727463,3.480960839590585,1.0660515876550642,1.0346882947658413,2.5037167072296143,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,29.806180953979492
bound,image-derived context,1.788888888888889,11.999665260314941,60.21382863159941,41.65656611139939,12.72336021532335,12.390482847309535,5.017959028468686,3.4714773460527417,1.0603095952519441,1.0325690407620867,2.7260799407958984,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,33.77744674682617
bound,image-derived context,2.0,12.418450355529785,62.18851268175679,43.01034094160805,13.109056144670788,12.80033915704373,5.0077514425191545,3.4634225455075454,1.055611269471596,1.0307517275167828,2.9491164684295654,0.9388124346733093,0.7998683452606201,17.025575637817383,2.7993195056915283,17.055191040039062,2.770372152328491,18.830066680908203,37.749691009521484
asymptotic,image-derived context,0.1,2.118124485015869,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,0.14384498882876628,2.7093679904937744,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,0.20691380811147897,3.5265185832977295,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,0.29763514416313175,4.593166828155518,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,0.42813323987193935,5.903192520141602,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,0.6158482110660264,7.408992290496826,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,0.8858667904100825,9.019692420959473,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,1.2742749857031335,10.618216514587402,,,,,,,,,,,,,,,,,
asymptotic,image-derived context,1.8329807108324356,12.09274673461914,,,,,,,,,,,,,,,,,
